TotalSalesValue,AllocatedValue,Status,QtyAllocated,xLineNumber,InvoiceDate,SalesQuantity,SalesQtyAllocated,InvoiceNo,ItemNumber,ItemDescription,DutyFreePaid,pCNumber,pRegistrationDate,pQuantity,pQtyAllocated,PiQuantity,xCNumber,xRegistrationDate,pLineNumber,SalesCost,Total_CIF_itm,DutyLiability,TaxAmount,pIsAssessed,DoNotAllocateSales,DoNotAllocatePreviousEntry,SANumber,pReferenceNumber,xReferenceNumber,TariffCode,Invalid,pExpiryDate
"4693.31982421875","4693.31982421875","No Asycuda Entries Found","6",,"9/6/2018 12:00:00 AM","6","0","GB00043474","INT/YBA063GL","Antifouling, Trilux 33 Black Gal","Duty Free",,,,,,,,,"782.219970703125",,,"0",,,,"1",,,,,
"-259.040008544922","-259.040008544922","Returned More than Sold","-1",,"9/6/2018 12:00:00 AM","-1","0","GB00043479","UND/ATLANTIS270","VHF, Handheld Atlantis270 NIMH 110V/12V","Duty Free",,,,,,,,,"259.040008544922",,,"0",,,,"1",,,,,
"187.75","187.75","No Asycuda Entries Found","1",,"9/6/2018 12:00:00 AM","1","0","GB00043482","AWL/H8427QT","Acryl-U Paint, Awlcraft 2000 Slv Wh Qt","Duty Free",,,,,,,,,"187.75",,,"0",,,,"1",,,,,
"278.100006103516","278.100006103516","No Asycuda Entries Found","1",,"9/6/2018 12:00:00 AM","1","0","GB00043482","AWL/H7161QT","Poly-U Paint, Toreador Red Qt","Duty Free",,,,,,,,,"278.100006103516",,,"0",,,,"2",,,,,
"209.259994506836","209.259994506836","No Asycuda Entries Found","1",,"9/6/2018 12:00:00 AM","1","0","GB00043482","AWL/G5007QT","Poly-U Paint, Royal Blue Qt","Duty Free",,,,,,,,,"209.259994506836",,,"0",,,,"3",,,,,
"111.620002746582","111.620002746582","No Asycuda Entries Found","1",,"9/6/2018 12:00:00 AM","1","0","GB00043495","TOH/353-76020-3","Main Switch","Duty Free",,,,,,,,,"111.620002746582",,,"0",,,,"1",,,,,
"-22.9699993133545","-22.9699993133545","No Asycuda Entries Found","-1",,"9/7/2018 12:00:00 AM","-1","0","GB00043521","SIK/295UVBK","Sealant, PU 295UV Black 300ml/Ctdg","Duty Free",,,,,,,,,"22.9699993133545",,,"0",,,,"1",,,,,
"-22.9699993133545","-22.9699993133545","No Asycuda Entries Found","-1",,"9/7/2018 12:00:00 AM","-1","0","GB00043521","SIK/295UVBK","Sealant, PU 295UV Black 300ml/Ctdg","Duty Free",,,,,,,,,"22.9699993133545",,,"0",,,,"2",,,,,
"271.940002441406","271.940002441406","No Asycuda Entries Found","1",,"9/7/2018 12:00:00 AM","1","0","GB00043523","FREIGHT","Freight Charges","Duty Free",,,,,,,,,"271.940002441406",,,"0",,,,"1",,,,,
"436.429986953735","436.429986953735","No Asycuda Entries Found","19",,"9/7/2018 12:00:00 AM","19","0","GB00043535","SIK/295UVBK","Sealant, PU 295UV Black 300ml/Ctdg","Duty Free",,,,,,,,,"22.9699993133545",,,"0",,,,"1",,,,,
